stkcd,date,lh_rtnDiff,lh_volDiff,lh_stdDiff
000009.XSHE,2023-06-09,-3.00764915859227,1.126468134900398,0.44068119539818446
000009.XSHE,2023-06-12,-0.9840260935015747,1.3819389897888847,0.7762872515402452
000009.XSHE,2023-06-13,0.0839443958842171,0.3531983793372138,0.1167367095980493
000009.XSHE,2023-06-14,0.20198412958436418,0.5650369381341361,0.2637982382071687
000009.XSHE,2023-06-15,0.295049341957833,0.868333096287868,0.288841448001741
000009.XSHE,2023-06-16,0.3993447456794225,0.693828404175876,0.2124174179145819
000009.XSHE,2023-06-19,-0.2672200687486276,0.47637347449091444,0.24373306436442196
000009.XSHE,2023-06-21,1.5123784622926353,1.0754725305198938,0.3757462018118403
000009.XSHE,2023-06-26,1.504984216647248,0.5904512520272951,0.37390912214839894
000009.XSHE,2023-06-27,0.5472812654473449,0.8654686759693714,0.21874094465372504
000009.XSHE,2023-06-28,-0.0,0.7178006361080806,0.17441473815286912
000009.XSHE,2023-06-29,-0.6462422340945922,1.0837731194708378,0.49587894200327043
000009.XSHE,2023-06-30,0.0,0.9318389156783526,0.1436301000335888
000009.XSHE,2023-07-04,0.25082658290629223,0.7122443951712244,0.33167151458679195
000009.XSHE,2023-07-05,1.6666666666666823,0.8451475675834731,0.777777777777776
000009.XSHE,2023-07-06,0.3443104930121825,1.4364366373902133,0.3675384972112373
000009.XSHE,2023-07-07,-0.1252126573664423,0.612679694860651,0.33114091204351365
000009.XSHE,2023-07-10,0.09783843199289673,0.3895958193603895,0.12778036592176265
000009.XSHE,2023-07-11,0.12506724395351407,0.9174853134762363,0.31462228557055844
000009.XSHE,2023-07-12,0.8319359436572562,0.934400229591644,0.7907509959514624
000009.XSHE,2023-07-13,0.0,0.9029010654168034,0.1165725308672184
000009.XSHE,2023-07-14,0.3958564557898758,1.2671247757562214,0.19988791331963848
000009.XSHE,2023-07-17,0.2984675634258584,0.7086600351082505,0.35279853832842534
000009.XSHE,2023-07-18,0.5202006383948655,1.1502965576182858,0.5160054719562219
000009.XSHE,2023-07-19,-0.0,0.7432871891392233,0.29985978242692163
000009.XSHE,2023-07-20,-2.0386261749819408,0.9154773803961462,0.5932067968185039
000009.XSHE,2023-07-21,0.3339153716314217,0.6813175388094326,0.39673113461161724
000009.XSHE,2023-07-24,0.9955748373100536,0.686781193148555,0.3139889871516716
000009.XSHE,2023-07-25,0.0,0.5629566521264995,0.13154119114384158
