stkcd,day,lh_rtnDiff,lh_volDiff,lh_stdDiff
000004.XSHE,2023-01-11,0.001928616275335934,1.2135744865072875,0.6590725891986026
000004.XSHE,2023-01-12,-0.015994236311239182,0.16047311754334914,0.1528864232603369
000004.XSHE,2023-01-13,-0.010566400907757543,1.9373424871817155,0.44226245866570524
000004.XSHE,2023-01-16,-0.009472951749790183,0.4064372678217956,0.18391295827125176
000004.XSHE,2023-01-17,0.010347376332869774,0.6410298257782855,0.5084469051675282
000004.XSHE,2023-01-18,-0.0030247657055955893,0.22837175512375807,0.335844965641452
000004.XSHE,2023-01-19,0.014309671835076837,0.5815914307574598,0.600027056277063
000004.XSHE,2023-01-20,-0.015326936887411022,0.7242461870065365,0.3021359709093804
000004.XSHE,2023-01-30,0.02362544999723959,0.8143582971074305,1.172244294116944
000004.XSHE,2023-01-31,-0.05836230464260084,0.12202550493798611,0.27615563719283887
000004.XSHE,2023-02-01,-0.013352339925719641,0.2822246062412775,0.10031762775433627
000004.XSHE,2023-02-02,0.02221466266475352,0.5517037258406561,0.39390104105168283
000004.XSHE,2023-02-03,0.011861672675906583,0.14303100224409254,0.1485310458242572
000004.XSHE,2023-02-06,-0.007693376892457362,0.35162087677927095,0.32748924217069775
000004.XSHE,2023-02-07,-0.00287143815002244,0.7686158531228954,1.5424984643734543
000004.XSHE,2023-02-08,0.0028209188048315932,0.33860549561816977,0.43446625451315224
000004.XSHE,2023-02-09,-0.012753848210781633,1.153548549177239,0.35469609079444
000004.XSHE,2023-02-10,0.003039890347776006,0.6229750578554898,0.3859993569527823
000004.XSHE,2023-02-13,-0.001988598700782069,1.787309609999317,0.7129562454017688
000004.XSHE,2023-02-14,0.0009308510638298855,0.38977526613221186,0.5593286414838992
000004.XSHE,2023-02-15,-0.0009344546789481697,0.9273568987150088,0.1886351944916892
000004.XSHE,2023-02-16,0.004037383652557036,1.4375654411104795,0.8695954400111164
000004.XSHE,2023-02-17,-0.00207468879668038,0.23049242665918052,0.3353536295398354
000004.XSHE,2023-02-20,-0.011413475228976115,0.39129417792579557,0.1818549836781656
000004.XSHE,2023-02-21,0.006160164271047267,0.48949757230314545,0.23957308465584795
000004.XSHE,2023-02-22,0.0051324658056642256,0.2187987596531769,0.3288839961469605
000004.XSHE,2023-02-23,-0.02846231704556046,0.08684915359191865,0.14132727441917775
000004.XSHE,2023-02-24,-0.008956857616175012,0.9219212751063486,0.7094190672582366
000004.XSHE,2023-02-27,0.006954284588228098,0.9284880603135548,0.4092169476486256
000004.XSHE,2023-02-28,-0.009156467052273794,0.251832661112256,0.3814063442482889
000004.XSHE,2023-03-01,-0.003958563765393462,0.92288842544317,0.15340640788303098
000004.XSHE,2023-03-02,-0.008119642952598954,0.4912473354434468,0.309666585080623
000004.XSHE,2023-03-03,-0.006110809342748545,0.5277730765325119,0.3532747508701393
000004.XSHE,2023-03-06,0.0031366095142657973,0.21459740021129026,1.0082056892778992
000004.XSHE,2023-03-07,0.006256082302238128,0.7271768273922026,0.6841539556492335
000004.XSHE,2023-03-08,-0.005331743530332723,0.41014719517848863,0.27290762344005143
000004.XSHE,2023-03-09,-0.006123282079194488,1.4531575910886256,0.34761398717831804
000004.XSHE,2023-03-10,-0.01689588428044135,0.17955229837100461,0.1995987158908496
000004.XSHE,2023-03-13,-0.007149906539448738,0.5617641149286718,0.29498380004629177
000004.XSHE,2023-03-14,0.006852742686242676,0.452835799759258,0.43244310608678177
000004.XSHE,2023-03-15,-0.004119747322164397,0.259728373191615,0.1857230040533778
000004.XSHE,2023-03-16,0.0019342359767891763,0.15015434673786085,0.3894445979552447
000004.XSHE,2023-03-17,-0.004132231404958835,0.3713797765601651,0.3276811817202621
000004.XSHE,2023-03-20,0.00093251178818342,1.0372475179732967,0.5562144972217528
000004.XSHE,2023-03-21,-0.005143889892951346,0.5835243300423131,0.33908799862265676
000004.XSHE,2023-03-22,-0.007151717860242541,0.48898982558139537,0.2671908649271306
000004.XSHE,2023-03-23,-0.0183113051890504,0.24734664651125784,0.0848828183829743
000004.XSHE,2023-03-24,-0.014794235119320945,0.2192519760326364,0.44219648359711444
000004.XSHE,2023-03-27,0.01136282940815774,1.2735531102827935,0.4051700506565848
000004.XSHE,2023-03-28,0.00509126101983348,0.22958761429926727,0.5371624147469998
000004.XSHE,2023-03-29,0.0020000043357564267,0.9968223301217684,0.6620562993408027
000004.XSHE,2023-03-30,0.005091094446085369,0.2759718543489312,0.35779619337696855
000004.XSHE,2023-03-31,-0.009268351051686675,0.31731949688448263,0.17851764723510583
000004.XSHE,2023-04-03,-0.012982621056493138,0.28954129090554737,0.19437768713482367
000004.XSHE,2023-04-04,0.0009641873278237933,0.9775474956822107,0.5892726450392801
000004.XSHE,2023-04-06,0.012324039406403833,0.20959627648045268,0.3634882884323336
000004.XSHE,2023-04-07,0.002056989277960123,0.6739766489257949,0.3559769649525368
000004.XSHE,2023-04-10,0.027130467075107644,0.2283850122727045,0.24738418194221884
000004.XSHE,2023-04-11,0.0020533880903489594,0.2859530557372284,0.2736803348577696
000004.XSHE,2023-04-12,-0.012129776273609527,0.2260614807953297,0.22031695455307462
000004.XSHE,2023-04-13,-0.012923004633465155,0.2649030954349224,0.2364553768527247
000004.XSHE,2023-04-14,0.00383332352034752,0.4150363821114472,0.6467198036442706
000004.XSHE,2023-04-17,-0.020970388160432202,0.211687325582542,0.311950230844478
000004.XSHE,2023-04-18,0.006767610661589853,0.3974149276179733,0.24498724277552045
000004.XSHE,2023-04-19,-0.05485832578600071,0.032730229721488105,0.00018228773584905684
000004.XSHE,2023-04-20,0.033277785964531514,0.18774963902723923,0.3417810838305644
000004.XSHE,2023-04-21,-0.007661926868189715,0.39946012634156747,0.6844651598558288
000004.XSHE,2023-04-24,0.011382864523399344,0.2050446251437698,0.41663592877047284
000004.XSHE,2023-04-25,0.0193284599182256,0.2620818424712114,0.10875816273562085
000004.XSHE,2023-04-26,-0.015687085491789137,0.22266567160950496,0.19002861948295344
000004.XSHE,2023-04-27,-0.03468193715160366,0.4635783205426233,0.3248361868526723
000004.XSHE,2023-04-28,-0.010408461465368694,0.8987815108128474,0.4579857186181851
000004.XSHE,2023-05-04,0.0,0.012459351168163497,0.001225820895522385
000004.XSHE,2023-05-05,0.014404675717936057,0.5058099380430499,0.595147322135473
000004.XSHE,2023-05-08,0.009885473176612506,0.02552491157769918,0.00025841121495327155
000004.XSHE,2023-05-09,0.01617619281221172,0.1881893665165511,0.22210492607029547
000004.XSHE,2023-05-10,-0.01083199215682882,0.16689642208158406,0.22992056785533382
000004.XSHE,2023-05-11,-0.04597011480616002,0.1397717080435261,0.32455681542226406
000004.XSHE,2023-05-12,-0.008574854690381516,0.2986580800221856,0.30240441900222975
000004.XSHE,2023-05-15,0.013013571520039211,0.44318142675071476,0.22742043831750416
000004.XSHE,2023-05-16,0.04498149853046005,0.14023357443573592,0.022433240729692255
000004.XSHE,2023-05-17,-0.02168789273171496,0.34940821115129833,0.21425071850707883
000004.XSHE,2023-05-18,-0.02266891513012493,0.3186353253260629,0.22153394504960816
000004.XSHE,2023-05-19,0.009253470051269162,0.39018713783604064,0.234694386645585
000004.XSHE,2023-05-22,-0.03261779114208428,0.8785488958990536,0.1529996927331398
000004.XSHE,2023-05-23,-0.030788260255125002,0.8479543232074698,0.29562318069558646
000004.XSHE,2023-05-24,-0.020420063073121747,0.8911806380839199,0.8683717699605233
000004.XSHE,2023-05-25,0.0,0.011171017901149627,0.00044900497512437694
000004.XSHE,2023-05-26,-0.03335877030415352,0.002230702180465636,0.00017846303501945523
